Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
2, eco6, 6, 936093, 79.3, 499.3, 2910.4, 34.5, 9.7, 3.7, 60.1, 14.17, 78.3, 12.4, 8.9, 5.3, 1359.5, 267.6, 108.3, 24, 1.6, 2.4, 0.7, 1.6, 17.3, 100, 26.9, 355.2, 0.2, 0.1, 3.4, 2.4, 0.3, 0.1, 0, 0.1, 0, 0, 1.1, 12.6, 1.8, 42, 0, 0, 0, 0, 0.1, 8.7, 0.3, 0, 0.04, 1.59, 0.33, 0, 0, 0.1, 0, 71.7, 2.72, 0, 
2, eco7, 7, 521671, 152.9, 759.2, 38234.9, 51.3, 14.1, 6.1, 482.8, 14.05, 181.3, 14.3, 11.5, 6.9, 17959.5, 3253.5, 860.6, 154.2, 2.4, 3.7, 1.1, 2.3, 87.8, 154.5, 52.1, 464.8, 0.3, 0.2, 46.8, 38.3, 2.2, 1.7, 0, 0.1, 0, 0.1, 1.5, 18.2, 2.8, 55.1, 0, 0, 0, 0, 0.1, 9.7, -0.8, 0, 0.04, 8.79, 1.07, 0, 0, 0.4, 0.1, 91.8, 2.59, 0, 
2, eco8, 8, 580739, 140.7, 664.5, 2600, 15.8, 4.4, 1.7, 42.2, 14.83, 97.9, 16.1, 3.8, 2.3, 1218.4, 241.2, 74.1, 17.1, 0.7, 1.1, 0.3, 0.7, 17.8, 147.8, 37.1, 461.9, 0.1, 0, 3.1, 2.5, 0.2, 0.1, 0, 0, 0, 0, 1.1, 18.6, 2.6, 54.7, 0, 0, 0, 0, 0.1, 10.8, 0.1, 0, 0.03, 1.52, 0.29, 0, 0, 0, 0, 91.9, 2.52, 0, 
2, eco9, 9, 336263, 64.1, 365.8, 1718.8, 23, 6.4, 2.8, 37.8, 8.62, 52.6, 7.6, 7.2, 4.3, 800.7, 159.3, 92, 18.7, 1.3, 2, 0.6, 1.4, 12, 80.3, 38.4, 235.2, 0.2, 0.1, 2, 0.5, 0.2, 0.1, 0, 0.1, 0, 0, 1.1, 9.7, 2, 28, 0, 0, 0, 0, 0.1, 5, -0.9, 0, 0.07, 7.86, 1.23, 0, 0, 0, 0, 49.5, 1.82, 0, 
2, eco10, 10, 254883, 339.9, 812.2, 161785.7, 49.4, 12.2, 4.8, 1929.3, 12.09, 407, 13.2, 13.4, 8.8, 76025.9, 9782.1, 3289.1, 434.4, 2, 2.7, 1, 1.7, 285.7, 127.3, 67.8, 331.4, 0.4, 0.2, 209.3, 113.6, 9, 5, 0, 0.1, 0, 0.1, 1.8, 14.1, 1.9, 39.3, 0, 0, 0, 0, 0.1, 9, -3.3, 0, 0.04, 3.27, 0.5, 0, 0, 0.5, 0.1, 69.5, 2.49, 0, 
3, eco1, 1, 472775, 74.8, 639, 15118.9, 44.1, 12.2, 6.9, 208.5, 14.85, 115.3, 8.6, 14, 8.5, 7091.1, 1206.4, 647.9, 103.5, 3.7, 6.1, 1.8, 4.2, 78.7, 94.9, 30.8, 434.7, 0.3, 0.2, 18.4, 13.2, 1.7, 1, 0, 0.2, 0, 0.1, 1.4, 11.1, 1.6, 51.2, 0, 0, 0, 0, 0.1, 6.4, -0.1, 0, 0.09, 5.9, 1.56, 0.2, 0, 0.2, 0.1, 80.5, 3.49, 0, 
3, eco2, 2, 369410, -10.8, 140.1, 1274.6, 22.9, 6.4, 3.3, 32.7, 8, 26.8, 1.6, 7.5, 4.5, 592.1, 118.4, 104.2, 21.6, 2, 3.1, 0.9, 2.2, 10.7, 20.4, 6.5, 102.5, 0.2, 0.1, 1.5, 0.4, 0.3, 0.1, 0, 0.1, 0, 0.1, 1, 2.6, 0.4, 12.2, 0, 0, 0, 0, 0, 1.3, 0, 0, 0.03, 0.95, 0.25, 0, 0, 0, 0, 24.3, 2.06, 0, 
3, eco3, 3, 292243, 198.7, 1194.8, 20473.5, 52.4, 14.4, 8.7, 279.6, 29.47, 205.3, 20.4, 14.5, 8.7, 9608.6, 1812.5, 642.4, 127.9, 4, 6.3, 2.1, 4.4, 136.2, 171.5, 42.8, 844.3, 0.4, 0.2, 25.7, 21.1, 1.7, 1.3, 0, 0.2, 0, 0.1, 2.1, 20.6, 2.6, 99.7, 0, 0, 0, 0, 0.2, 14.3, 0.8, 0, 0.08, 1.43, 1.46, 0.1, 0, 0.2, 0.1, 154.9, 6.62, 0, 
3, eco4, 4, 482063, 263.7, 932.7, 52769.2, 69.2, 19.1, 12, 686, 12.65, 201.8, 10.3, 20.6, 12.4, 24780.8, 4386.9, 1592.9, 291.7, 6, 9.6, 3, 6.5, 365.5, 135.5, 55.7, 376.1, 0.5, 0.3, 66.1, 52.1, 4.2, 3.3, 0, 0.3, 0, 0.2, 2.1, 13.6, 1.8, 44.6, 0, 0, 0, 0, 0.2, 6.2, -1.6, 0, 0.06, 1.92, 0.65, 0.1, 0, 0.5, 0.1, 75.3, 2.97, 0, 
3, eco5, 5, 279971, 641, 1467.3, 161797.7, 56.4, 14.8, 10, 1991.1, 9.39, 445.2, 13.3, 16.6, 10.6, 76024.6, 11769.5, 4895.2, 785.9, 5.4, 8.5, 3, 5.4, 796.6, 197.2, 132.7, 340.8, 0.5, 0.3, 203.3, 144.9, 13, 9.6, 0, 0.3, 0, 0.2, 3.2, 17.6, 2.4, 40.4, 0, 0, 0, 0, 0.2, 8.1, -5.8, 0, 0.08, 2.48, 0.77, 0.2, 0, 0.6, 0.1, 73.6, 2.28, 0, 
