SimulationYear,DayOfYear,AttemptedNumberIgnitions,ActualNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 269, 1, 1, 30.2264979310356, Accidental, 
1, 271, 1, 1, 34.6693651568981, Accidental, 
1, 274, 1, 1, 26.2093653758893, Accidental, 
1, 275, 1, 1, 23.3940448084233, Accidental, 
1, 284, 1, 1, 20.0200966398287, Accidental, 
1, 286, 1, 1, 16.7704633900491, Accidental, 
1, 287, 2, 2, 39.3652851759871, Accidental, 
1, 290, 1, 1, 35.7156882260256, Accidental, 
1, 291, 2, 2, 41.6875355958392, Accidental, 
1, 292, 2, 2, 34.7886731644314, Accidental, 
1, 298, 1, 1, 29.2567557488679, Accidental, 
1, 299, 2, 2, 29.7831604756978, Accidental, 
1, 300, 1, 1, 31.1286898047126, Accidental, 
1, 302, 1, 1, 27.7391998995113, Accidental, 
1, 304, 2, 2, 36.683477394127, Accidental, 
1, 305, 2, 2, 33.5230502176514, Accidental, 
1, 306, 2, 2, 34.006449126293, Accidental, 
1, 308, 2, 2, 32.3059372320575, Accidental, 
1, 310, 1, 1, 25.9555607498864, Accidental, 
1, 312, 4, 4, 51.2550497358807, Accidental, 
1, 314, 2, 2, 43.6977498050163, Accidental, 
1, 315, 5, 5, 56.0481432553749, Accidental, 
1, 316, 5, 5, 57.6593741555291, Accidental, 
1, 317, 4, 4, 52.5046083103172, Accidental, 
1, 318, 3, 3, 43.1331420443905, Accidental, 
1, 319, 2, 2, 35.9843756572101, Accidental, 
1, 325, 1, 1, 22.9565157693483, Accidental, 
1, 330, 1, 1, 24.4007761324045, Accidental, 
1, 333, 1, 1, 21.3274940413573, Accidental, 
2, 72, 1, 1, 11.7998769579733, Accidental, 
2, 100, 1, 1, 18.6701873101222, Accidental, 
2, 101, 1, 1, 17.6829735886814, Accidental, 
2, 104, 1, 1, 13.0242254584665, Accidental, 
2, 108, 1, 1, 9.99796370986146, Accidental, 
2, 111, 1, 1, 18.752734689035, Accidental, 
2, 116, 1, 1, 15.3144057042162, Lightning, 
2, 120, 1, 1, 13.6427606454243, Accidental, 
2, 126, 1, 1, 17.5523681168168, Accidental, 
2, 135, 1, 1, 16.9005937961346, Accidental, 
2, 137, 1, 1, 21.4358712233484, Accidental, 
2, 141, 1, 1, 30.2981435595993, Accidental, 
2, 143, 1, 1, 27.4543361981464, Accidental, 
2, 147, 1, 1, 28.3832952932839, Accidental, 
2, 150, 2, 2, 28.1088189545248, Accidental, 
2, 153, 1, 1, 24.5367150381622, Accidental, 
2, 155, 1, 1, 23.8313233722466, Accidental, 
2, 157, 1, 1, 22.2772498769322, Accidental, 
2, 165, 1, 1, 24.5907080988145, Accidental, 
2, 167, 1, 1, 25.2767891872563, Accidental, 
2, 177, 2, 2, 33.1118827043254, Accidental, 
2, 178, 2, 2, 35.0702499015933, Accidental, 
2, 181, 2, 2, 37.9866923005772, Accidental, 
2, 182, 1, 1, 38.9343809279161, Accidental, 
2, 183, 2, 2, 38.3683262110112, Accidental, 
2, 184, 2, 2, 36.6173789318403, Accidental, 
2, 185, 2, 2, 37.9656371973992, Accidental, 
2, 186, 2, 2, 37.4009806417885, Accidental, 
2, 187, 2, 2, 32.7003481689095, Accidental, 
2, 190, 2, 2, 33.1431211454979, Accidental, 
2, 190, 1, 1, 33.1431211454979, Lightning, 
2, 192, 2, 2, 35.9443206194926, Accidental, 
2, 193, 1, 1, 34.0857730486531, Accidental, 
2, 195, 1, 1, 36.0638424889178, Accidental, 
2, 196, 2, 2, 35.3149651564902, Accidental, 
2, 198, 2, 2, 32.5003349641704, Accidental, 
2, 200, 1, 1, 27.2332736171904, Accidental, 
2, 201, 2, 2, 30.0159496542817, Accidental, 
2, 202, 1, 1, 29.2163172551621, Accidental, 
2, 204, 1, 1, 31.0335757686223, Accidental, 
2, 212, 1, 1, 22.9374053167437, Accidental, 
2, 213, 1, 1, 23.5733361668288, Accidental, 
2, 218, 1, 1, 32.8133738979999, Accidental, 
2, 219, 1, 1, 34.5363032591858, Accidental, 
2, 220, 1, 1, 35.6018962364559, Accidental, 
2, 221, 2, 2, 35.9439394287105, Accidental, 
2, 223, 2, 2, 42.8557427104497, Accidental, 
2, 227, 2, 2, 35.73310458267, Accidental, 
2, 231, 2, 2, 31.578561912604, Accidental, 
2, 232, 1, 1, 27.5030968756483, Accidental, 
2, 236, 1, 1, 26.3199621492802, Accidental, 
2, 237, 1, 1, 29.0530944861803, Accidental, 
2, 240, 1, 1, 28.6185377430948, Accidental, 
2, 241, 1, 1, 27.9410073921538, Accidental, 
2, 249, 1, 1, 30.7259850439474, Accidental, 
2, 251, 2, 2, 32.3278250746303, Accidental, 
2, 255, 2, 2, 27.960470625641, Accidental, 
