# ppt,,,
,eco7,eco7,eco7
TIMESTEP,MEAN(mm),VARIANCE(mm^2),STD_DEV(mm)
1950-09-06T00:00:00Z,0.35686016,0.36147338,0.60122657
1950-09-07T00:00:00Z,0.06933086,0.04916805,0.2217387
1950-09-08T00:00:00Z,0.025781708,0.009819194,0.09909184
1950-09-09T00:00:00Z,0.003984531,0.001181286,0.034369845
1950-09-10T00:00:00Z,0.007468496,0.002269651,0.04764086
1950-09-11T00:00:00Z,0.001545646,5.36E-04,0.023151977
1950-09-12T00:00:00Z,0.029936828,0.009812435,0.099057734
1950-09-13T00:00:00Z,0.00608694,0.001791767,0.042329267
1950-09-14T00:00:00Z,0.01629588,0.004763302,0.06901668
1950-09-15T00:00:00Z,0.037682176,0.01715858,0.13099076
1950-09-16T00:00:00Z,0.008946683,0.002607944,0.05106803
1950-09-17T00:00:00Z,0.020683156,0.006072319,0.077925086
1950-09-18T00:00:00Z,0,0,0
1950-09-19T00:00:00Z,0.003478403,0.001032999,0.032140296
1950-09-20T00:00:00Z,0,0,0
1950-09-21T00:00:00Z,0.002950294,8.78E-04,0.029626409
1950-09-22T00:00:00Z,0.08987834,0.056521326,0.23774214
1950-09-23T00:00:00Z,9.96E-04,2.98E-04,0.01727172
1950-09-24T00:00:00Z,0.001867991,5.58E-04,0.023616932
1950-09-25T00:00:00Z,7.25E-04,2.17E-04,0.014741661
1950-09-26T00:00:00Z,3.45E-04,1.03E-04,0.010168265
1950-09-27T00:00:00Z,0.14258087,0.17471622,0.41799068
1950-09-28T00:00:00Z,0.02313631,0.008206247,0.09058834
1950-09-29T00:00:00Z,0.38396683,0.29839608,0.5462564
1950-09-30T00:00:00Z,0,0,0
1950-10-01T00:00:00Z,0.012832057,0.004133495,0.06429226
1950-10-02T00:00:00Z,0.15628593,0.15443176,0.39297807
1950-10-03T00:00:00Z,0.16062663,0.17668658,0.42034104
1950-10-04T00:00:00Z,0.005406726,0.001595221,0.039940212
1950-10-05T00:00:00Z,2.7746491,7.9493337,2.8194563
1950-10-06T00:00:00Z,0.1286463,0.05597594,0.23659235
1950-10-07T00:00:00Z,0.00437684,0.001344039,0.036661137
1950-10-08T00:00:00Z,0.001927206,5.75E-04,0.023985952
1950-10-09T00:00:00Z,10.189221,74.137474,8.610312
1950-10-10T00:00:00Z,1.6111145,4.061036,2.0152013
1950-10-11T00:00:00Z,0.006339841,0.001912771,0.043735236
1950-10-12T00:00:00Z,0.012363332,0.007268936,0.08525805
1950-10-13T00:00:00Z,0,0,0
1950-10-14T00:00:00Z,0.003999693,0.001185721,0.034434296
1950-10-15T00:00:00Z,0.012928633,0.023094412,0.15196846
1950-10-16T00:00:00Z,0.009212996,0.002683116,0.051798802
1950-10-17T00:00:00Z,0.10297847,0.044084933,0.20996413
1950-10-18T00:00:00Z,0.13477176,0.07289495,0.26999065
1950-10-19T00:00:00Z,1.7257885,3.5468335,1.8833039
1950-10-20T00:00:00Z,1.5699993,2.5828028,1.60711
1950-10-21T00:00:00Z,0,0,0
1950-10-22T00:00:00Z,1.57E-05,4.73E-06,0.002173777
1950-10-23T00:00:00Z,1.0040274,1.0509434,1.0251553
1950-10-24T00:00:00Z,6.639467,7.965692,2.8223557
1950-10-25T00:00:00Z,0.015507238,0.004418443,0.06647137
1950-10-26T00:00:00Z,0,0,0
1950-10-27T00:00:00Z,0,0,0
1950-10-28T00:00:00Z,0.002442172,7.28E-04,0.026979245
1950-10-29T00:00:00Z,0,0,0
1950-10-30T00:00:00Z,4.47E-04,1.34E-04,0.011574436
1950-10-31T00:00:00Z,0.003084922,9.17E-04,0.030287959
1950-11-01T00:00:00Z,2.6659343,2.736149,1.6541309
1950-11-02T00:00:00Z,0.001193072,3.57E-04,0.018895587
1950-11-03T00:00:00Z,0.25091684,0.56637675,0.75258005
1950-11-04T00:00:00Z,0,0,0
1950-11-05T00:00:00Z,0,0,0
1950-11-06T00:00:00Z,1.34E-04,4.04E-05,0.00635398
1950-11-07T00:00:00Z,0.001017241,3.05E-04,0.017452866
1950-11-08T00:00:00Z,0.3782313,0.14909737,0.3861313
1950-11-09T00:00:00Z,0.006043484,0.001779238,0.04218101
1950-11-10T00:00:00Z,0.008544534,0.003272531,0.057206035
1950-11-11T00:00:00Z,3.0813391,14.5057335,3.8086393
1950-11-12T00:00:00Z,0,0,0
1950-11-13T00:00:00Z,0.43712094,0.3208612,0.5664461
1950-11-14T00:00:00Z,0.48038572,0.7636416,0.8738659
1950-11-15T00:00:00Z,1.30E-04,3.92E-05,0.006259719
1950-11-16T00:00:00Z,0.42070347,0.30535313,0.5525877
1950-11-17T00:00:00Z,13.147931,13.157387,3.6273112
1950-11-18T00:00:00Z,21.079096,374.44366,19.350546
1950-11-19T00:00:00Z,17.334362,61.374706,7.834201
1950-11-20T00:00:00Z,0.27454278,0.10232883,0.31988877
1950-11-21T00:00:00Z,0.37901685,0.19302662,0.43934792
1950-11-22T00:00:00Z,11.363343,76.2138,8.730051
1950-11-23T00:00:00Z,0.33061427,0.23509972,0.48487082
1950-11-24T00:00:00Z,0,0,0
1950-11-25T00:00:00Z,7.8639703,9.674906,3.110451
1950-11-26T00:00:00Z,1.3446951,2.528272,1.590054
1950-11-27T00:00:00Z,2.633289,1.2735565,1.1285197
1950-11-28T00:00:00Z,10.665789,76.463425,8.744337
1950-11-29T00:00:00Z,16.42932,17.44825,4.17711
1950-11-30T00:00:00Z,5.3465466,19.981602,4.4700785
1950-12-01T00:00:00Z,0.8603689,1.2949018,1.1379375
1950-12-02T00:00:00Z,5.114339,3.2951117,1.8152443
1950-12-03T00:00:00Z,3.603105,2.489159,1.5777069
1950-12-04T00:00:00Z,0.81167567,0.9526596,0.97604287
1950-12-05T00:00:00Z,5.22E-06,1.57E-06,0.001251954
1950-12-06T00:00:00Z,5.9908185,33.54575,5.791869
1950-12-07T00:00:00Z,2.2271001,1.1046869,1.0510409
1950-12-08T00:00:00Z,0.2967087,0.16437453,0.4054313
1950-12-09T00:00:00Z,0,0,0
1950-12-10T00:00:00Z,0.002642313,8.14E-04,0.028526325
1950-12-11T00:00:00Z,0,0,0
1950-12-12T00:00:00Z,0.036993545,0.015189043,0.12324384
1950-12-13T00:00:00Z,0.005828943,0.002115434,0.04599385
1950-12-14T00:00:00Z,0,0,0
1950-12-15T00:00:00Z,0,0,0
1950-12-16T00:00:00Z,0,0,0
1950-12-17T00:00:00Z,0,0,0
1950-12-18T00:00:00Z,0,0,0
1950-12-19T00:00:00Z,0,0,0
1950-12-20T00:00:00Z,0,0,0
1950-12-21T00:00:00Z,0,0,0
1950-12-22T00:00:00Z,0.04439899,0.027504466,0.16584471
1950-12-23T00:00:00Z,0.004129946,0.002532491,0.05032386
1950-12-24T00:00:00Z,0.14529465,0.105969556,0.32552966
1950-12-25T00:00:00Z,5.3988914,11.664725,3.4153662
1950-12-26T00:00:00Z,22.090809,54.798748,7.402618
1950-12-27T00:00:00Z,8.481341,8.168642,2.8580835
1950-12-28T00:00:00Z,0.50913745,0.15512745,0.39386222
1950-12-29T00:00:00Z,0.4074894,0.18786769,0.43343705
1950-12-30T00:00:00Z,0.33990934,0.0706426,0.26578677
1950-12-31T00:00:00Z,0,0,0
1951-01-01T00:00:00Z,0,0,0
1951-01-02T00:00:00Z,0,0,0
1951-01-03T00:00:00Z,0,0,0
1951-01-04T00:00:00Z,0.004010899,0.001188998,0.034481846
1951-01-05T00:00:00Z,0,0,0
1951-01-06T00:00:00Z,0,0,0
1951-01-07T00:00:00Z,0,0,0
