Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
2, 462, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 463, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 475, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 540, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 542, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 544, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 547, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 549, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 602, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 603, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 604, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 605, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 606, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 631, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 730, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 732, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 742, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 745, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 746, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 747, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 748, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 749, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 763, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
